"MacroTrends Data Download"
"CTRM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2020-03-17,7.4000,8.5000,5.1000,6.0000,247089
2020-03-18,5.9000,6.1000,5.2000,5.6830,44798
2020-03-19,5.3830,6.4500,5.3000,5.4200,52464
2020-03-20,6.1000,6.7000,5.5000,5.5560,82533
2020-03-23,5.7000,6.0000,4.8200,5.8000,39199
2020-03-24,5.7000,6.0500,5.6000,5.9610,35097
2020-03-25,5.8990,7.2100,5.7750,6.4000,141408
2020-03-26,7.4000,9.0000,6.2000,6.8800,293143
2020-03-27,6.9000,9.5000,6.3000,7.7730,630766
2020-03-30,9.7000,10.8000,6.3000,6.6200,547377
2020-03-31,6.0000,7.8280,5.5000,6.8350,197413
2020-04-01,6.0000,7.0910,5.7000,6.0640,54763
2020-04-02,6.0000,6.6000,5.5000,6.0000,65938
2020-04-03,5.8250,6.1900,5.3258,5.6490,63157
2020-04-06,5.5800,6.6900,5.5157,6.2000,201476
2020-04-07,6.4000,6.5330,5.9000,5.9601,68376
2020-04-08,5.9000,6.2000,5.8000,6.0490,32576
2020-04-09,6.2000,6.4790,5.9000,6.1000,74098
2020-04-13,6.2000,6.3000,5.8110,6.1000,29129
2020-04-14,6.0800,6.2500,5.9510,6.2000,36922
2020-04-15,6.1700,6.2000,5.9500,6.1000,30337
2020-04-16,6.1000,6.1000,5.8020,6.1000,43378
2020-04-17,6.7000,7.0040,5.9500,6.2900,221474
2020-04-20,6.2000,7.2000,6.0000,7.0000,249573
2020-04-21,7.2000,7.3900,6.2000,6.5900,228583
2020-04-22,6.2000,6.5600,6.1050,6.3000,59917
2020-04-23,6.2000,6.8960,6.0000,6.5020,171788
2020-04-24,6.7900,6.8500,6.3100,6.5990,96998
2020-04-27,6.5000,6.7860,6.2000,6.6330,67135
2020-04-28,6.7000,7.5000,6.4500,7.1000,410736
2020-04-29,7.4000,8.1000,7.0200,7.1000,335214
2020-04-30,6.9000,7.3000,6.5000,6.8150,97659
2020-05-01,6.5940,6.8158,6.5000,6.7990,53644
2020-05-04,6.5010,7.4000,6.3500,6.9280,125487
2020-05-05,7.0000,7.0000,6.5040,6.5750,42918
2020-05-06,6.6000,6.8490,6.4000,6.5980,49613
2020-05-07,6.4030,6.9000,6.4030,6.6230,61093
2020-05-08,6.8200,7.1000,6.7340,6.9000,102743
2020-05-11,6.9800,7.1000,6.6000,7.0000,80653
2020-05-12,7.2490,7.2490,6.7100,6.8900,100397
2020-05-13,6.8580,6.9900,6.0500,6.6000,78644
2020-05-14,6.4150,6.6770,5.8000,6.4730,89879
2020-05-15,6.5000,6.7770,6.3360,6.5510,68507
2020-05-18,6.6820,6.9850,6.4010,6.9500,122049
2020-05-19,6.9800,7.1148,6.5330,6.5900,74428
2020-05-20,6.6000,6.8000,6.5100,6.7000,42156
2020-05-21,6.6600,6.7000,6.4000,6.5600,39813
2020-05-22,6.5000,6.7820,6.3510,6.6800,64009
2020-05-26,6.6700,7.6500,6.5000,7.0370,175453
2020-05-27,7.4000,7.5800,6.8000,6.9900,177958
2020-05-28,7.0540,7.1000,6.6000,6.7010,39647
2020-05-29,6.6250,6.7000,6.5510,6.6100,25447
2020-06-01,6.6000,7.5000,6.6000,6.8000,199156
2020-06-02,6.9780,7.3000,6.5010,6.7690,108875
2020-06-03,6.7000,6.8000,6.5800,6.7980,43743
2020-06-04,6.7000,7.6900,6.5900,7.3300,276042
2020-06-05,8.2010,9.0500,7.2180,7.6750,1185915
2020-06-08,7.7000,8.4500,7.3000,8.2800,537959
2020-06-09,7.9030,8.0000,7.2500,7.3250,176173
2020-06-10,7.2000,7.8100,6.9000,7.3000,226471
2020-06-11,6.8800,7.2070,6.4000,6.4990,144564
2020-06-12,6.6000,7.2000,6.5000,7.0870,230528
2020-06-15,6.8000,7.3410,6.5500,7.2000,117453
2020-06-16,7.5000,7.5000,6.8100,7.1950,68392
2020-06-17,6.9000,7.0900,6.7410,6.8550,46632
2020-06-18,6.8500,7.7000,6.5500,7.4000,345575
2020-06-19,7.6820,7.6950,6.8800,7.1000,205569
2020-06-22,6.9900,7.0000,6.3600,6.4010,291129
2020-06-23,5.8390,7.0000,5.4010,6.3000,1128375
2020-06-24,3.8500,4.4800,3.7740,4.2650,10984636
2020-06-25,4.5570,5.0000,4.2540,4.6730,4487373
2020-06-26,4.6000,4.6240,3.5000,4.1200,3627655
2020-06-29,4.1500,4.2000,3.7000,3.9500,1780763
2020-06-30,4.7010,4.7010,3.8550,4.0000,3357963
2020-07-01,3.9000,3.9000,3.6500,3.6770,1350513
2020-07-02,3.6220,3.6300,2.1000,3.2900,1547578
2020-07-06,3.4000,3.5600,3.2000,3.3920,860642
2020-07-07,3.3000,3.3500,3.0000,3.2900,666963
2020-07-08,3.2000,3.2700,3.1200,3.1990,488572
2020-07-09,3.20
